collection,profile,kernel,compute_recipes,compute_tp,cpu,dominant_recurrence,eligible,exclusion_reason,fallback_reason,final_score,fma_pairs,fma_savings_tp,full_evl_savings_tp,full_width_iterations,function,kind,lcd,legacy_cost,loop,memory_recipes,memory_tp,ordinary_pressure_excluded,other_recipes,other_tp,recurrence_distance,runtime_vf,scalable,scalar_address_register_recipes,target,tp,vf,zero_cost_recipes
final-xiangshan,xiangshan,bicg-l01,5,12,xiangshan-kunminghu,ir<%q.018>,True,,,0.9375,2,8,0,False,selected_kernel,candidate,10,31,for.body,4,8,False,18,3,1,16,True,0,riscv64-unknown-unknown-elf,15,8,19
final-xiangshan,xiangshan,bicg-l01,5,24,xiangshan-kunminghu,ir<%q.018>,True,,,0.84375,2,16,0,False,selected_kernel,candidate,14,59,for.body,4,16,False,18,3,1,32,True,0,riscv64-unknown-unknown-elf,27,16,19
final-xiangshan,xiangshan,gemver-l00,4,2,xiangshan-kunminghu,vp<%3>,True,,,3,2,2,1,True,selected_kernel,candidate,1,11,for.body,4,4,False,17,2,1,2,True,0,riscv64-unknown-unknown-elf,6,1,19
final-xiangshan,xiangshan,gemver-l00,4,2,xiangshan-kunminghu,vp<%3>,True,,,1.5,2,2,1,True,selected_kernel,candidate,1,11,for.body,4,4,False,17,2,1,4,True,0,riscv64-unknown-unknown-elf,6,2,19
final-xiangshan,xiangshan,gemver-l00,4,4,xiangshan-kunminghu,vp<%3>,True,,,0.75,2,4,1,True,selected_kernel,candidate,1,15,for.body,4,4,False,17,2,1,8,True,0,riscv64-unknown-unknown-elf,6,4,19
final-xiangshan,xiangshan,gemver-l00,4,8,xiangshan-kunminghu,vp<%avl>,True,,,0.6875,2,8,0,False,selected_kernel,candidate,3,27,for.body,4,8,False,17,3,1,16,True,0,riscv64-unknown-unknown-elf,11,8,18
final-xiangshan,xiangshan,gemver-l00,4,16,xiangshan-kunminghu,vp<%avl>,True,,,0.59375,2,16,0,False,selected_kernel,candidate,3,51,for.body,4,16,False,17,3,1,32,True,0,riscv64-unknown-unknown-elf,19,16,18
final-saturn,saturn,s000,1,1,generic-rv64,vp<%3>,True,,,2,0,0,1,True,selected_kernel,candidate,1,6,for.body,2,2,False,14,2,1,2,True,0,riscv64-unknown-unknown-elf,4,1,14
final-saturn,saturn,s000,1,1,generic-rv64,vp<%3>,True,,,1,0,0,1,True,selected_kernel,candidate,1,6,for.body,2,2,False,14,2,1,4,True,0,riscv64-unknown-unknown-elf,4,2,14
final-saturn,saturn,s000,1,2,generic-rv64,vp<%3>,True,,,0.75,0,0,1,True,selected_kernel,candidate,1,9,for.body,2,4,False,14,2,1,8,True,0,riscv64-unknown-unknown-elf,6,4,14
final-saturn,saturn,s000,1,4,generic-rv64,vp<%avl>,True,,,0.6875,0,0,0,False,selected_kernel,candidate,3,15,for.body,2,8,False,14,3,1,16,True,0,riscv64-unknown-unknown-elf,11,8,13
final-saturn,saturn,s000,1,8,generic-rv64,vp<%avl>,True,,,0.59375,0,0,0,False,selected_kernel,candidate,3,27,for.body,2,16,False,14,3,1,32,True,0,riscv64-unknown-unknown-elf,19,16,13
final-saturn,saturn,s1111,7,6,generic-rv64,vp<%3>,True,,,4,1,1,1,True,selected_kernel,candidate,1,16,for.body,4,6,False,18,2,1,2,True,3,riscv64-unknown-unknown-elf,8,1,19
final-saturn,saturn,s1111,7,7,generic-rv64,vp<%3>,True,,,3,1,1,1,True,selected_kernel,candidate,1,21,for.body,4,9,False,18,3,1,4,True,3,riscv64-unknown-unknown-elf,12,2,19
final-saturn,saturn,s1111,7,14,generic-rv64,vp<%3>,True,,,2.875,1,2,1,True,selected_kernel,candidate,1,40,for.body,4,18,False,18,5,1,8,True,3,riscv64-unknown-unknown-elf,23,4,19
final-saturn,saturn,s1111,7,28,generic-rv64,vp<%avl>,True,,,2.875,1,4,0,False,selected_kernel,candidate,3,78,for.body,4,36,False,18,10,1,16,True,3,riscv64-unknown-unknown-elf,46,8,18
final-saturn,saturn,s1111,7,56,generic-rv64,vp<%avl>,True,,,2.8125,1,8,0,False,selected_kernel,candidate,3,154,for.body,4,72,True,18,18,1,32,True,3,riscv64-unknown-unknown-elf,90,16,18
final-saturn,saturn,s125,2,1,generic-rv64,vp<%3>,True,,,3,1,1,1,True,selected_kernel,candidate,1,9,for.body,4,4,False,18,2,1,2,True,0,riscv64-unknown-unknown-elf,6,1,19
final-saturn,saturn,s125,2,1,generic-rv64,vp<%3>,True,,,1.5,1,1,1,True,selected_kernel,candidate,1,9,for.body,4,4,False,18,2,1,4,True,0,riscv64-unknown-unknown-elf,6,2,19
final-saturn,saturn,s125,2,2,generic-rv64,vp<%3>,True,,,1.25,1,2,1,True,selected_kernel,candidate,1,15,for.body,4,8,False,18,2,1,8,True,0,riscv64-unknown-unknown-elf,10,4,19
final-saturn,saturn,s125,2,4,generic-rv64,vp<%avl>,True,,,1.1875,1,4,0,False,selected_kernel,candidate,3,27,for.body,4,16,False,18,3,1,16,True,0,riscv64-unknown-unknown-elf,19,8,18
final-saturn,saturn,s125,2,8,generic-rv64,vp<%avl>,True,,,1.09375,1,8,0,False,selected_kernel,candidate,3,51,for.body,4,32,False,18,3,1,32,True,0,riscv64-unknown-unknown-elf,35,16,18
final-saturn,saturn,s311,2,1,generic-rv64,ir<%sum.04>,True,,,2,0,0,2,True,selected_kernel,candidate,4,6,for.body,1,1,False,13,2,1,2,True,0,riscv64-unknown-unknown-elf,3,1,14
final-saturn,saturn,s311,2,1,generic-rv64,ir<%sum.04>,True,,,1,0,0,2,True,selected_kernel,candidate,4,6,for.body,1,1,False,13,2,1,4,True,0,riscv64-unknown-unknown-elf,3,2,14
final-saturn,saturn,s311,2,2,generic-rv64,ir<%sum.04>,True,,,0.625,0,0,3,True,selected_kernel,candidate,5,9,for.body,1,2,False,13,2,1,8,True,0,riscv64-unknown-unknown-elf,4,4,14
final-saturn,saturn,s311,2,8,generic-rv64,ir<%sum.04>,True,,,0.6875,0,0,0,False,selected_kernel,candidate,8,15,for.body,1,4,False,13,3,1,16,True,0,riscv64-unknown-unknown-elf,11,8,12
final-saturn,saturn,s311,2,16,generic-rv64,ir<%sum.04>,True,,,0.59375,0,0,0,False,selected_kernel,candidate,12,27,for.body,1,8,False,13,3,1,32,True,0,riscv64-unknown-unknown-elf,19,16,12
final-saturn,saturn,s4112,3,2,generic-rv64,vp<%3>,True,,,4,1,1,1,True,selected_kernel,candidate,1,12,for.body,4,6,False,16,2,1,2,True,0,riscv64-unknown-unknown-elf,8,1,17
final-saturn,saturn,s4112,3,3,generic-rv64,vp<%3>,True,,,2.75,1,1,1,True,selected_kernel,candidate,1,16,for.body,4,9,False,16,2,1,4,True,0,riscv64-unknown-unknown-elf,11,2,17
final-saturn,saturn,s4112,3,6,generic-rv64,vp<%3>,True,,,2.5,1,2,1,True,selected_kernel,candidate,1,29,for.body,4,18,False,16,2,1,8,True,0,riscv64-unknown-unknown-elf,20,4,17
final-saturn,saturn,s4112,3,12,generic-rv64,vp<%avl>,True,,,2.4375,1,4,0,False,selected_kernel,candidate,3,55,for.body,4,36,False,16,3,1,16,True,0,riscv64-unknown-unknown-elf,39,8,16
final-saturn,saturn,s4112,3,25,generic-rv64,vp<%avl>,True,,,2.34375,1,8,0,False,selected_kernel,candidate,3,108,for.body,4,72,False,16,3,1,32,True,0,riscv64-unknown-unknown-elf,75,16,16
final-saturn,saturn,jacobi-2d-imper-l00,6,7,generic-rv64,vp<%5>,True,,,5,0,0,1,True,selected_kernel,candidate,1,16,for.body,5,5,False,25,3,1,2,True,0,riscv64-unknown-unknown-elf,10,1,24
final-saturn,saturn,jacobi-2d-imper-l00,6,7,generic-rv64,vp<%5>,True,,,2.5,0,0,1,True,selected_kernel,candidate,1,16,for.body,5,5,False,25,3,1,4,True,0,riscv64-unknown-unknown-elf,10,2,24
final-saturn,saturn,jacobi-2d-imper-l00,6,14,generic-rv64,vp<%5>,True,,,2.125,0,0,1,True,selected_kernel,candidate,1,28,for.body,5,10,False,25,3,1,8,True,0,riscv64-unknown-unknown-elf,17,4,24
final-saturn,saturn,jacobi-2d-imper-l00,6,28,generic-rv64,vp<%avl>,True,,,2,0,0,0,False,selected_kernel,candidate,3,52,for.body,5,20,False,25,4,1,16,True,0,riscv64-unknown-unknown-elf,32,8,23
final-saturn,saturn,jacobi-2d-imper-l00,6,56,generic-rv64,vp<%avl>,True,,,1.875,0,0,0,False,selected_kernel,candidate,3,100,for.body,5,40,False,25,4,1,32,True,0,riscv64-unknown-unknown-elf,60,16,23
final-saturn,saturn,gesummv-l00,6,2,generic-rv64,ir<%y.021>,True,,,2.5,2,2,3,True,selected_kernel,candidate,4,12,for.body,3,3,False,18,2,1,2,True,0,riscv64-unknown-unknown-elf,5,1,22
final-saturn,saturn,gesummv-l00,6,2,generic-rv64,ir<%y.021>,True,,,1.25,2,2,3,True,selected_kernel,candidate,4,12,for.body,3,3,False,18,2,1,4,True,0,riscv64-unknown-unknown-elf,5,2,22
final-saturn,saturn,gesummv-l00,6,4,generic-rv64,ir<%y.021>,True,,,1,2,4,5,True,selected_kernel,candidate,5,21,for.body,3,6,False,18,2,1,8,True,0,riscv64-unknown-unknown-elf,8,4,22
final-saturn,saturn,gesummv-l00,6,16,generic-rv64,ir<%y.021>,True,,,1.1875,2,8,0,False,selected_kernel,candidate,8,39,for.body,3,12,False,18,3,1,16,True,0,riscv64-unknown-unknown-elf,19,8,19
final-saturn,saturn,gesummv-l00,6,32,generic-rv64,ir<%y.021>,False,register pressure,,1.09375,2,16,0,False,selected_kernel,candidate,12,75,for.body,3,24,True,18,3,1,32,True,0,riscv64-unknown-unknown-elf,35,16,19
final-saturn,saturn,bicg-l01,5,2,generic-rv64,ir<%q.018>,True,,,3,2,2,2,True,selected_kernel,candidate,4,12,for.body,4,4,False,18,2,1,2,True,0,riscv64-unknown-unknown-elf,6,1,21
final-saturn,saturn,bicg-l01,5,2,generic-rv64,ir<%q.018>,True,,,1.5,2,2,2,True,selected_kernel,candidate,4,12,for.body,4,4,False,18,2,1,4,True,0,riscv64-unknown-unknown-elf,6,2,21
final-saturn,saturn,bicg-l01,5,4,generic-rv64,ir<%q.018>,True,,,1.25,2,4,3,True,selected_kernel,candidate,5,21,for.body,4,8,False,18,2,1,8,True,0,riscv64-unknown-unknown-elf,10,4,21
final-saturn,saturn,bicg-l01,5,12,generic-rv64,ir<%q.018>,True,,,1.1875,2,8,0,False,selected_kernel,candidate,8,39,for.body,4,16,False,18,3,1,16,True,0,riscv64-unknown-unknown-elf,19,8,19
final-saturn,saturn,bicg-l01,5,24,generic-rv64,ir<%q.018>,True,,,1.09375,2,16,0,False,selected_kernel,candidate,12,75,for.body,4,32,False,18,3,1,32,True,0,riscv64-unknown-unknown-elf,35,16,19
final-saturn,saturn,gemver-l00,4,2,generic-rv64,vp<%3>,True,,,3,2,2,1,True,selected_kernel,candidate,1,11,for.body,4,4,False,17,2,1,2,True,0,riscv64-unknown-unknown-elf,6,1,19
final-saturn,saturn,gemver-l00,4,2,generic-rv64,vp<%3>,True,,,1.5,2,2,1,True,selected_kernel,candidate,1,11,for.body,4,4,False,17,2,1,4,True,0,riscv64-unknown-unknown-elf,6,2,19
final-saturn,saturn,gemver-l00,4,4,generic-rv64,vp<%3>,True,,,1.25,2,4,1,True,selected_kernel,candidate,1,19,for.body,4,8,False,17,2,1,8,True,0,riscv64-unknown-unknown-elf,10,4,19
final-saturn,saturn,gemver-l00,4,8,generic-rv64,vp<%avl>,True,,,1.1875,2,8,0,False,selected_kernel,candidate,3,35,for.body,4,16,False,17,3,1,16,True,0,riscv64-unknown-unknown-elf,19,8,18
final-saturn,saturn,gemver-l00,4,16,generic-rv64,vp<%avl>,True,,,1.09375,2,16,0,False,selected_kernel,candidate,3,67,for.body,4,32,False,17,3,1,32,True,0,riscv64-unknown-unknown-elf,35,16,18
final-none-observe,none,s000,1,2,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:68:16 (!tbaa !32)",,0,0,1,True,selected_kernel,candidate,,7,for.body,2,2,False,14,2,0,2,True,0,riscv64-unknown-unknown-elf,,1,14
final-none-observe,none,s000,1,2,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:68:16 (!tbaa !32)",,0,0,1,True,selected_kernel,candidate,,7,for.body,2,2,False,14,2,0,4,True,0,riscv64-unknown-unknown-elf,,2,14
final-none-observe,none,s000,1,4,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:68:16 (!tbaa !32)",,0,0,1,True,selected_kernel,candidate,,11,for.body,2,4,False,14,2,0,8,True,0,riscv64-unknown-unknown-elf,,4,14
final-none-observe,none,s000,1,8,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:68:16 (!tbaa !32)",,0,0,0,False,selected_kernel,candidate,,19,for.body,2,8,False,14,3,0,16,True,0,riscv64-unknown-unknown-elf,,8,13
final-none-observe,none,s000,1,16,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:68:16 (!tbaa !32)",,0,0,0,False,selected_kernel,candidate,,35,for.body,2,16,False,14,3,0,32,True,0,riscv64-unknown-unknown-elf,,16,13
final-none-observe,none,s1111,7,10,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:77:20 (!tbaa !32)",,1,3,1,True,selected_kernel,candidate,,22,for.body,4,6,False,18,2,0,2,True,3,riscv64-unknown-unknown-elf,,1,19
final-none-observe,none,s1111,7,11,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:77:20 (!tbaa !32)",,1,3,1,True,selected_kernel,candidate,,27,for.body,4,9,False,18,3,0,4,True,3,riscv64-unknown-unknown-elf,,2,19
final-none-observe,none,s1111,7,22,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:77:20 (!tbaa !32)",,1,6,1,True,selected_kernel,candidate,,52,for.body,4,18,False,18,5,0,8,True,3,riscv64-unknown-unknown-elf,,4,19
final-none-observe,none,s1111,7,44,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:77:20 (!tbaa !32)",,1,12,0,False,selected_kernel,candidate,,102,for.body,4,36,False,18,10,0,16,True,3,riscv64-unknown-unknown-elf,,8,18
final-none-observe,none,s1111,7,88,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:77:20 (!tbaa !32)",,1,24,0,False,selected_kernel,candidate,,202,for.body,4,72,True,18,18,0,32,True,3,riscv64-unknown-unknown-elf,,16,18
final-none-observe,none,s125,2,1,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:90:28 (!tbaa !32)",,1,3,1,True,selected_kernel,candidate,,11,for.body,4,4,False,18,2,0,2,True,0,riscv64-unknown-unknown-elf,,1,19
final-none-observe,none,s125,2,1,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:90:28 (!tbaa !32)",,1,3,1,True,selected_kernel,candidate,,11,for.body,4,4,False,18,2,0,4,True,0,riscv64-unknown-unknown-elf,,2,19
final-none-observe,none,s125,2,2,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:90:28 (!tbaa !32)",,1,6,1,True,selected_kernel,candidate,,19,for.body,4,8,False,18,2,0,8,True,0,riscv64-unknown-unknown-elf,,4,19
final-none-observe,none,s125,2,4,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:90:28 (!tbaa !32)",,1,12,0,False,selected_kernel,candidate,,35,for.body,4,16,False,18,3,0,16,True,0,riscv64-unknown-unknown-elf,,8,18
final-none-observe,none,s125,2,8,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:90:28 (!tbaa !32)",,1,24,0,False,selected_kernel,candidate,,67,for.body,4,32,False,18,3,0,32,True,0,riscv64-unknown-unknown-elf,,16,18
final-none-observe,none,s311,2,2,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%7>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:100:16 (!tbaa !32)",,0,0,2,True,selected_kernel,candidate,,7,for.body,1,1,False,13,2,0,2,True,0,riscv64-unknown-unknown-elf,,1,14
